,,,,,,,
Owner,#,Scenario,Sample input,Prompt for output,Sample output,GE LLM run time in seconds,GE LLM Response
,,,"- Seems like they are a bit OCD, cannot stand dirty table. Next time make sure that the place is always neat, tidy, quiet environment",,,,
,,,"- May want to talk to them on using UL or iUL to help them in planning. I want to find out their banking partners and prepare for potential objection handling for legacy planning. Maybe a way to converse with them is to talk more about their dogs, or even talk about my own dog more",,,,
Nisha,6,- Snippet for customer tagging,"Okay ah, just met Marcus just now at Tanjong Pagar, quick voice note so I don’t forget.","Generate a short snippet of each customer in this conversation (see transcript of advisor's voice recap post the meeting below) to help me identify what each speaker said that is unique to that speaker. By reading this snippet, I should be able to identify with no ambiguity who said that (e.g., customer 1 vs. customer 2). Do not include anything the insurance advisor says in the snippets. Split by Customer 1 - """"xxx"""", Customer 2 - """"xxx"""". If there is only one customer then only output Customer 1, and so on. Since this is a recap of the advisor's recollection of the meeting post the meeting, please ensure snippet does not sound like the customer talking but rather just a snippet of what we know about the customer based on the recap","Customer 1 - ""Recently transitioned from banking to a fintech startup (~3 months), with a shift to lower base pay (~8k) plus equity and some uncertainty around income stability. Holds a large condo loan (~$1.1M, ~$4.2k/month, mainly CPF), maintains ~70k cash and ~180k in investments with regular $1.5k monthly DCA, but only has basic hospitalisation and ~300k term coverage with no CI or accident protection. Leads an active lifestyle (gym, Muay Thai) with prior minor injury, and is in a serious relationship (~1 year) with plans for marriage in 2–3 years and children thereafter.""",,
,,- Based on voice recap,,,,,
,,- One customer,"Uhh so he just changed job recently, like about 3 months ago. From banking go to fintech startup, so now his pay structure a bit different. Last time he was earning about 9.5k plus bonus maybe 3 months, now base around 8k but got equity la… so I think he also not very sure how stable long term.",<Insert voice recap transcript>,,,
,,,,,,,
,,,"Then biggest thing is he just bought a condo last year, loan quite big sia… about 1.1 mil. Monthly like 4.2k, mostly using CPF. His OA now left about 60k only, SA around 110k which is actually quite okay.",,,,
,,,,,,,
,,,"Savings wise got about 70k cash, investments around 180k… he doing DCA like 1.5k every month into ETF and some tech stocks. So actually financially quite decent la, just that his protection side really quite weak.",,,,
,,,,,,,
,,,"He only got hospital plan with rider, AIA one, then term plan only 300k. No CI at all… which I think quite dangerous especially now he in startup, income not stable.",,,,
,,,,,,,
,,,"Also ah, he quite active — gym and recently do Muay Thai. He say last time got ankle injury but never claim anything because no personal accident. So that one quite obvious gap.",,,,
,,,,,,,
,,,"Then personal side… he got girlfriend, about 1 year already, quite serious. He mention maybe 2–3 years will get married, then maybe kids few years later. So actually his responsibilities will increase quite a lot soon.",,,,
,,,,,,,
,,,So overall I think main things for him:,,,,
,,,- confirm need to add personal accident,,,,
,,,- CI coverage is a must,,,,
,,,"- term coverage need to increase, because now his loan already 1.1 mil but coverage only 300k, confirm not enough",,,,
,,,,,,,
,,,"He quite open lah, but also concerned about cash flow since his salary structure changed.",,,,
,,,,,,,
,,,"Next step he will send me his policies, CPF, and expenses. Then I will do proper calculation and propose.",,,,
,,,,,,,
,,,We are meeting next Thursday evening.,,,,
,,,,,,,
,,,"Ya overall quite good client, just need to tighten up protection side.",,,,
Nisha,7,- Snippet for customer tagging,"Okay quick one ah, just finished meeting John and Sarah, husband and wife, at Novena.","Generate a short snippet of each customer in this conversation (see transcript of advisor's voice recap post the meeting below) to help me identify what each speaker said that is unique to that speaker. By reading this snippet, I should be able to identify with no ambiguity who said that (e.g., customer 1 vs. customer 2). Do not include anything the insurance advisor says in the snippets. Split by Customer 1 - """"xxx"""", Customer 2 - """"xxx"""". If there is only one customer then only output Customer 1, and so on. Since this is a recap of the advisor's recollection of the meeting post the meeting, please ensure snippet does not sound like the customer talking but rather just a snippet of what we know about the customer based on the recap","Customer 1 - ""Recently moved into a tech product manager role earning ~9k with reduced bonus upside, has lower CPF OA due to housing usage, actively cycles every weekend (East Coast) with a past minor wrist injury, holds ~500k term coverage with weaker/older CI, and is planning ahead for daughter’s university while considering a future condo upgrade.""",,
,,- Based on voice recap,,,,,
,,- Two customers,"So both of them quite stable actually. John recently changed job — now in tech, product manager role. Salary about 9k, but bonus not as good as before, last time he say can get like 4–5 months, now maybe 1–2 only. Sarah still with MOE, earning about 5.5k, but she might take up HOD role next year so maybe go up to like 6.5k.",<Insert voice recap transcript>,"Customer 2 - ""MOE teacher earning ~5.5k with potential increase to ~6.5k from upcoming HOD role, has stronger CPF balances, more conservative lifestyle (occasionally joins cycling), relies partly on basic group insurance, and is closely involved in planning and supporting daughter’s upcoming university education.""",,
,,,,,,,
,,,"Combined income quite okay la, around 14k+.",,,,
,,,,,,,
,,,"They got one daughter, 18 this year, going uni next year, likely NUS business. They estimate about maybe 10–12k per year for school fees plus expenses, and they want to fully support her.",,,,
,,,,,,,
,,,"They already set aside about 60k for that, but I feel still a bit borderline if include hostel and all.",,,,
,,,,,,,
,,,"Assets wise — John CPF OA around 40k because used for housing, SA about 85k. Sarah OA about 90k, SA 70k. They still paying HDB loan, about 20 years left.",,,,
,,,,,,,
,,,"Investments they are quite disciplined actually — doing about 1k monthly into ETFs, total portfolio around 120k already.",,,,
,,,,,,,
,,,"Lifestyle wise quite interesting — John into cycling recently, every weekend go East Coast, Sarah more chill but she say sometimes will join. John mentioned he had a small fall last time, wrist injury, but never claim anything.",,,,
,,,,,,,
,,,So main gap I see is actually both of them don’t have proper personal accident. Sarah got some group coverage from school but quite basic.,,,,
,,,,,,,
,,,"Insurance wise — hospital plan all under NTUC, got rider. John has term about 500k, Sarah about 300k. CI coverage not very strong, John’s one quite old.",,,,
,,,,,,,
,,,So overall:,,,,
,,,- personal accident missing for both,,,,
,,,"- CI need to review, especially John",,,,
,,,"- education planning for daughter not fully secured yet, currently mostly cash",,,,
,,,,,,,
,,,"They also mention maybe in future want to upgrade to condo, but not so soon, maybe after daughter graduates.",,,,
,,,,,,,
,,,"Cash flow wise they say monthly expenses about 5k, so still got buffer.",,,,
,,,,,,,
,,,Next step I told them I will:,,,,
,,,- review all their existing plans properly,,,,
,,,- propose PA for both,,,,
,,,- look into CI upgrade,,,,
,,,- and also maybe some short-term plan to better secure the daughter’s uni funds,,,,
,,,,,,,
,,,They will send me their policy details first.,,,,
,,,,,,,
,,,"We tentatively set next meeting next Sunday afternoon, go through everything.",,,,
,,,,,,,
,,,"Overall quite good case, quite balanced already, just need to plug a few gaps.",,,,
Nisha,8,- Snippet for customer tagging,"Speaker B: Hey Marcus, long time no see. You still working around Tanjong Pagar area ah?","Generate a short snippet of each customer in this conversation (see full transcript below) to help me identify what each speaker says that is unique to that speaker. By reading this snippet, I should be able to identify with no ambiguity who said that (e.g., customer 1 vs. customer 2). Do not include anything the insurance advisor says in the snippets. Split by Customer 1 - ""xxx"", Customer 2 - ""xxx"". If there is only one customer then only output Customer 1, and so on.","Customer 1 - ""I recently switched from a higher-paying finance role (~9.5k + bonus) to a fintech startup earning ~8k with equity, while managing a $1.1M condo loan (~4.2k/month). I invest $1.5k monthly (portfolio ~180k), keep ~70k cash, and stay active with gym and Muay Thai—recently injured my ankle and realised I don’t have personal accident or CI coverage, which worries me given my less stable income.""",,
,,- Based on meeting transcription,,,,,
,,- One customer,"Speaker A: Ya still around here, but office now hybrid already. Today I just come out for meeting.",<Insert full meeting transcript>,,,
,,,,,,,
,,,"Speaker B: Shiok lah, hybrid life. I got your iced long black, no sugar right?",,,,
,,,,,,,
,,,"Speaker A: Wah thanks, you remember ah.",,,,
,,,,,,,
,,,Speaker B: Must remember one. So how have you been? Last time you mentioned maybe changing role?,,,,
,,,,,,,
,,,Speaker A: Ya actually I just switched job three months ago.,,,,
,,,,,,,
,,,"Speaker B: Oh nice, congrats. Same industry?",,,,
,,,,,,,
,,,"Speaker A: Still finance, but now I moved to a fintech startup.",,,,
,,,,,,,
,,,"Speaker B: Wah startup ah, more risky but maybe more upside?",,,,
,,,,,,,
,,,"Speaker A: Ya exactly. My base now is about 8k, slightly lower than before, but got equity component.",,,,
,,,,,,,
,,,Speaker B: Okay so trade salary for potential upside.,,,,
,,,,,,,
,,,Speaker A: Ya lor. Last time I was drawing about 9.5k with bonus maybe 3 months. Now bonus not guaranteed.,,,,
,,,,,,,
,,,Speaker B: Okay understood. So cash flow slightly tighter now?,,,,
,,,,,,,
,,,"Speaker A: Slightly, but still manageable.",,,,
,,,,,,,
,,,Speaker B: Any major commitments currently? Housing?,,,,
,,,,,,,
,,,Speaker A: I just bought a resale condo last year.,,,,
,,,,,,,
,,,Speaker B: Oh ya I remember you mentioned. Loan big or not?,,,,
,,,,,,,
,,,Speaker A: About 1.1 million loan. Monthly repayment around 4.2k.,,,,
,,,,,,,
,,,Speaker B: Okay quite significant. Using CPF or cash?,,,,
,,,,,,,
,,,Speaker A: Mostly CPF OA. My OA now left about 60k.,,,,
,,,,,,,
,,,Speaker B: SA how much roughly?,,,,
,,,,,,,
,,,Speaker A: Around 110k. I’ve been topping up a bit over the years.,,,,
,,,,,,,
,,,Speaker B: Wah good discipline.,,,,
,,,,,,,
,,,Speaker B: Investments still ongoing?,,,,
,,,,,,,
,,,Speaker A: Ya I’m putting about $1.5k monthly into ETFs and some tech stocks.,,,,
,,,,,,,
,,,Speaker B: Portfolio size now roughly?,,,,
,,,,,,,
,,,Speaker A: Around 180k total.,,,,
,,,,,,,
,,,Speaker B: Not bad eh. Any cash savings?,,,,
,,,,,,,
,,,Speaker A: About 70k liquid.,,,,
,,,,,,,
,,,Speaker B: Okay quite decent buffer.,,,,
,,,,,,,
,,,Speaker B: Lifestyle wise how? Still gymming?,,,,
,,,,,,,
,,,Speaker A: Ya I go gym like 3 times a week. Recently also started doing Muay Thai.,,,,
,,,,,,,
,,,Speaker B: Wah that one quite intense leh.,,,,
,,,,,,,
,,,"Speaker A: Ya lor, last time I injured my ankle slightly already.",,,,
,,,,,,,
,,,Speaker B: Serious or not?,,,,
,,,,,,,
,,,"Speaker A: Not too bad, but I had to stop for like 2 weeks.",,,,
,,,,,,,
,,,Speaker B: You got claim anything?,,,,
,,,,,,,
,,,"Speaker A: No leh, I don’t have personal accident.",,,,
,,,,,,,
,,,Speaker B: Okay that one is quite important especially for what you’re doing now.,,,,
,,,,,,,
,,,Speaker A: Ya I also feel like maybe should get.,,,,
,,,,,,,
,,,Speaker B: How about your current insurance coverage? Last time we reviewed quite long ago already.,,,,
,,,,,,,
,,,"Speaker A: I only have hospital plan with AIA, with rider.",,,,
,,,,,,,
,,,Speaker B: Okay that one good. Any life insurance?,,,,
,,,,,,,
,,,"Speaker A: Got one term plan, about 300k coverage.",,,,
,,,,,,,
,,,Speaker B: Critical illness?,,,,
,,,,,,,
,,,Speaker A: Don’t have.,,,,
,,,,,,,
,,,"Speaker B: Okay I’m going to be quite direct ah — with your current situation, there are a few gaps.",,,,
,,,,,,,
,,,Speaker A: Ya I also feel like not enough.,,,,
,,,,,,,
,,,Speaker B: Because now:,,,,
,,,- You have a large housing loan,,,,
,,,- Your income is less stable due to startup,,,,
,,,"- You are quite active physically (Muay Thai, gym)",,,,
,,,,,,,
,,,Speaker A: Ya true.,,,,
,,,,,,,
,,,Speaker B: If anything happens — injury or illness — your income will be affected quite a lot.,,,,
,,,,,,,
,,,Speaker A: That’s what I worried also.,,,,
,,,,,,,
,,,"Speaker B: Especially no CI coverage, if kena something serious, it will impact your ability to work long term.",,,,
,,,,,,,
,,,Speaker A: Ya…,,,,
,,,,,,,
,,,Speaker B: Also your term plan 300k might not be sufficient to cover your loan.,,,,
,,,,,,,
,,,"Speaker A: True, never really recalculate after buying the condo.",,,,
,,,,,,,
,,,Speaker B: Relationship side how? Still single or…,,,,
,,,,,,,
,,,Speaker A: I’m attached now.,,,,
,,,,,,,
,,,Speaker B: Oh nice.,,,,
,,,,,,,
,,,Speaker A: We’ve been together about 1 year plus.,,,,
,,,,,,,
,,,Speaker B: Serious one ah?,,,,
,,,,,,,
,,,Speaker A: Ya quite serious. We’re thinking maybe in 2-3 years settle down.,,,,
,,,,,,,
,,,Speaker B: Okay then planning ahead becomes even more important.,,,,
,,,,,,,
,,,Speaker A: Ya lor.,,,,
,,,,,,,
,,,"Speaker B: Any plans like marriage, kids timeline?",,,,
,,,,,,,
,,,Speaker A: Maybe 3-4 years later for kids.,,,,
,,,,,,,
,,,Speaker B: Okay so we need to think both protection and future planning.,,,,
,,,,,,,
,,,Speaker B: Let me summarise what I’m seeing:,,,,
,,,- Need personal accident due to lifestyle,,,,
,,,- Need CI coverage,,,,
,,,- Need to review term coverage (especially for housing loan),,,,
,,,- Possibly start some structured savings for future milestones,,,,
,,,,,,,
,,,Speaker A: Makes sense.,,,,
,,,,,,,
,,,"Speaker B: Cash flow wise, how much are you comfortable allocating monthly for insurance?",,,,
,,,,,,,
,,,Speaker A: Maybe around $500-$800 range?,,,,
,,,,,,,
,,,Speaker B: Okay that’s workable.,,,,
,,,,,,,
,,,"Speaker B: Also one more thing — since you’re in startup, any company insurance?",,,,
,,,,,,,
,,,"Speaker A: Got basic group insurance, but coverage quite low.",,,,
,,,,,,,
,,,Speaker B: Ya those usually not portable also.,,,,
,,,,,,,
,,,Speaker A: Exactly.,,,,
,,,,,,,
,,,Speaker B: Okay so what I propose is:,,,,
,,,- I help you map out your full financial position,,,,
,,,- Recalculate your protection needs properly,,,,
,,,- Then prioritise what to implement first,,,,
,,,,,,,
,,,Speaker A: Sounds good.,,,,
,,,,,,,
,,,"Speaker B: I won’t recommend everything at one go, we phase it.",,,,
,,,,,,,
,,,Speaker A: Ya better.,,,,
,,,,,,,
,,,"Speaker B: Next step, can you send me:",,,,
,,,- Your existing policy details,,,,
,,,- Latest CPF summary,,,,
,,,- Rough breakdown of your monthly expenses,,,,
,,,,,,,
,,,Speaker A: Okay can.,,,,
,,,,,,,
,,,Speaker B: Then I prepare a proper proposal for you.,,,,
,,,,,,,
,,,Speaker A: When you want to meet?,,,,
,,,,,,,
,,,Speaker B: Maybe next week? I walk you through everything clearly.,,,,
,,,,,,,
,,,Speaker A: Weekday night okay for me.,,,,
,,,,,,,
,,,Speaker B: Tuesday or Thursday?,,,,
,,,,,,,
,,,Speaker A: Thursday better.,,,,
,,,,,,,
,,,Speaker B: Okay I block Thursday evening. I’ll send you calendar invite.,,,,
,,,,,,,
,,,Speaker A: Sure.,,,,
,,,,,,,
,,,Speaker B: Meanwhile don’t do too many high-risk Muay Thai moves ah.,,,,
,,,,,,,
,,,Speaker A: Haha I try lah.,,,,
,,,,,,,
,,,Speaker B: Later before buy insurance already injured.,,,,
,,,,,,,
,,,Speaker A: Touch wood.,,,,
,,,,,,,
,,,Speaker B: Okay see you next week.,,,,
Nisha,9,- Snippet for customer tagging,"Speaker B: Hey John, hey Sarah. Long time never see already. You all found the place okay?","Generate a short snippet of each customer in this conversation (see full transcript below) to help me identify what each speaker says that is unique to that speaker. By reading this snippet, I should be able to identify with no ambiguity who said that (e.g., customer 1 vs. customer 2). Do not include anything the insurance advisor says in the snippets. Split by Customer 1 - ""xxx"", Customer 2 - ""xxx"". If there is only one customer then only output Customer 1, and so on.","Customer 1 - ""I actually switched to a new tech firm as a product manager—now earning about 9k/month. I’m the one handling our investments (we put $1k monthly into ETFs, portfolio ~120k), still servicing our HDB loan, and I recently got into cycling—had a small fall last month but realised I don’t even have personal accident coverage.""",,
,,- Based on meeting transcription,,,,,
,,- Two customers,"Speaker A: Ya ya, quite easy to find. Parking downstairs also not bad.",<Insert full meeting transcript>,"Customer 2 - ""I’m still teaching in MOE and may take on a HOD role soon (salary ~5.5k going to ~6.5k). I’m the one tracking things like our daughter going to NUS, estimating ~$10–12k/year and setting aside ~$60k savings. I also monitor our CPF balances, have some group insurance + early CI, and I’m more concerned about making sure our plans are stable and sufficient.""",,
,,,,,,,
,,,Speaker C: Thanks for arranging this. Wah you even order kopi for us ah.,,,,
,,,,,,,
,,,Speaker B: Of course lah. John kopi C kosong right? Sarah you still take oat milk latte?,,,,
,,,,,,,
,,,"Speaker C: Wah you remember ah, not bad.",,,,
,,,,,,,
,,,Speaker A: He very steady one lah.,,,,
,,,,,,,
,,,"Speaker B: Haha must remember my clients properly. So today more like catch up first, then we see how your plans are doing okay?",,,,
,,,,,,,
,,,Speaker A: Can can.,,,,
,,,,,,,
,,,Speaker B: So how’s things recently? Last time you mentioned you were thinking of changing job?,,,,
,,,,,,,
,,,"Speaker A: Ya I actually switched already. Now I’m with another tech firm, doing product manager role.",,,,
,,,,,,,
,,,Speaker B: Oh nice. Salary jump good?,,,,
,,,,,,,
,,,"Speaker A: Not bad lah, about 20% increase. Now around 9k monthly, but bonus not guaranteed like previous one.",,,,
,,,,,,,
,,,"Speaker B: Okay okay, so fixed higher but variable lower.",,,,
,,,,,,,
,,,"Speaker C: Ya his previous one bonus can go like 4-5 months, now maybe 1-2 only.",,,,
,,,,,,,
,,,Speaker B: Got trade-off. But stability also important. Sarah how about you?,,,,
,,,,,,,
,,,"Speaker C: I’m still in MOE. Teaching same school, but I might take on HOD role next year.",,,,
,,,,,,,
,,,"Speaker B: Wah steady, that one confirm more workload right?",,,,
,,,,,,,
,,,"Speaker C: Ya lor, but pay also go up a bit. Now around 5.5k, maybe will go to like 6.5k.",,,,
,,,,,,,
,,,Speaker B: Combined quite solid already. Any big expenses coming up?,,,,
,,,,,,,
,,,Speaker A: Our daughter starting uni next year.,,,,
,,,,,,,
,,,Speaker B: Oh ya she’s 18 already right? Which uni?,,,,
,,,,,,,
,,,Speaker C: Most likely NUS. She wants to do business.,,,,
,,,,,,,
,,,Speaker B: Nice. Local uni still okay cost-wise but still not cheap.,,,,
,,,,,,,
,,,Speaker C: Ya we estimate about maybe 10-12k per year including hostel if she stays.,,,,
,,,,,,,
,,,Speaker B: You all planning to support fully?,,,,
,,,,,,,
,,,"Speaker A: Ya lah, don’t want her to stress too much.",,,,
,,,,,,,
,,,Speaker B: Makes sense. So currently how are you all preparing for that?,,,,
,,,,,,,
,,,Speaker C: We have some savings set aside. About 60k in a separate account.,,,,
,,,,,,,
,,,Speaker B: Okay that one good. Investments wise still ongoing?,,,,
,,,,,,,
,,,Speaker A: Ya we still doing ETF monthly. Around $1k combined every month.,,,,
,,,,,,,
,,,Speaker B: Wah increase already ah.,,,,
,,,,,,,
,,,Speaker A: Ya because income went up. Now portfolio about 120k already.,,,,
,,,,,,,
,,,Speaker B: Nice. CPF side how looking?,,,,
,,,,,,,
,,,"Speaker C: Mine OA around 90k, SA about 70k.",,,,
,,,,,,,
,,,"Speaker A: Mine OA lower because we used for housing, about 40k left. SA around 85k.",,,,
,,,,,,,
,,,Speaker B: Okay quite healthy actually. Housing loan still ongoing right?,,,,
,,,,,,,
,,,Speaker A: Ya HDB loan. About 20 years left.,,,,
,,,,,,,
,,,Speaker B: Got consider upgrading or stay put?,,,,
,,,,,,,
,,,"Speaker C: We were thinking maybe condo in future, but not so soon lah. Maybe after daughter graduate.",,,,
,,,,,,,
,,,"Speaker B: Okay, so more like medium-term goal.",,,,
,,,,,,,
,,,Speaker A: Ya correct.,,,,
,,,,,,,
,,,Speaker B: How about lifestyle wise? Still playing badminton?,,,,
,,,,,,,
,,,Speaker A: Now less already. Recently I more into cycling.,,,,
,,,,,,,
,,,Speaker B: Oh serious ah.,,,,
,,,,,,,
,,,Speaker A: Ya I joined this group that cycle at East Coast every weekend.,,,,
,,,,,,,
,,,Speaker C: He very on one. Every Saturday morning go already.,,,,
,,,,,,,
,,,"Speaker B: Good for health but must be careful ah, cycling accidents quite common.",,,,
,,,,,,,
,,,Speaker A: Ya actually last month I had a small fall.,,,,
,,,,,,,
,,,Speaker B: Serious or not?,,,,
,,,,,,,
,,,"Speaker A: Not too bad, just some scratches and wrist pain.",,,,
,,,,,,,
,,,Speaker B: Did you claim anything?,,,,
,,,,,,,
,,,"Speaker A: No leh, I don’t have personal accident.",,,,
,,,,,,,
,,,Speaker B: Okay that one is a gap already.,,,,
,,,,,,,
,,,Speaker C: I got one from my school group insurance but coverage quite basic.,,,,
,,,,,,,
,,,Speaker B: Ya group insurance usually not enough one. Especially if active lifestyle like cycling.,,,,
,,,,,,,
,,,Speaker B: Let me quickly understand your current coverage okay. Hospital plan still with NTUC?,,,,
,,,,,,,
,,,"Speaker C: Yes, both of us under NTUC Income.",,,,
,,,,,,,
,,,Speaker A: Rider also have.,,,,
,,,,,,,
,,,Speaker B: Good. Life insurance how?,,,,
,,,,,,,
,,,Speaker A: I have a term plan about 500k coverage till age 65.,,,,
,,,,,,,
,,,Speaker C: Mine about 300k only.,,,,
,,,,,,,
,,,Speaker B: Any critical illness?,,,,
,,,,,,,
,,,"Speaker C: Mine got early CI, his one I think only basic.",,,,
,,,,,,,
,,,Speaker A: Ya mine quite old plan.,,,,
,,,,,,,
,,,Speaker B: Okay so actually I’m seeing a few things:,,,,
,,,- Personal accident gap for both of you,,,,
,,,"- CI coverage maybe need to review, especially since income increased",,,,
,,,- Also education planning mostly relying on savings,,,,
,,,,,,,
,,,Speaker A: Ya sounds about right.,,,,
,,,,,,,
,,,"Speaker B: Also since you upgraded job, your income dependency higher now. If anything happens, Sarah will need to cover quite a bit.",,,,
,,,,,,,
,,,Speaker C: Ya that one I also worried.,,,,
,,,,,,,
,,,"Speaker B: Don’t worry, we just structure properly.",,,,
,,,,,,,
,,,"Speaker B: For your daughter’s university, do you want something more guaranteed or okay with current savings + investments?",,,,
,,,,,,,
,,,Speaker A: Prefer something more certain lah. Market sometimes up and down.,,,,
,,,,,,,
,,,Speaker C: Ya especially nearer to uni already.,,,,
,,,,,,,
,,,Speaker B: Okay we can explore a short to mid-term endowment or capital guaranteed plan to secure part of that.,,,,
,,,,,,,
,,,Speaker A: Sounds good.,,,,
,,,,,,,
,,,"Speaker B: And for protection side, I strongly recommend:",,,,
,,,- Personal accident for both,,,,
,,,- Review CI coverage (especially for John),,,,
,,,- Maybe top up term if needed,,,,
,,,,,,,
,,,Speaker C: Okay.,,,,
,,,,,,,
,,,"Speaker B: Not everything must do at once, we prioritise.",,,,
,,,,,,,
,,,Speaker A: Ya don’t want cash flow too tight also.,,,,
,,,,,,,
,,,"Speaker B: Speaking of that, monthly expenses roughly how much now?",,,,
,,,,,,,
,,,Speaker C: Around 5k including everything.,,,,
,,,,,,,
,,,Speaker B: Okay still got buffer.,,,,
,,,,,,,
,,,Speaker B: How about travel plans? Still going Japan this year?,,,,
,,,,,,,
,,,Speaker C: Yes in December. Family trip.,,,,
,,,,,,,
,,,"Speaker B: Nice, then travel insurance also must cover properly ah.",,,,
,,,,,,,
,,,Speaker A: That one we always buy.,,,,
,,,,,,,
,,,Speaker B: Good habit.,,,,
,,,,,,,
,,,"Speaker B: Okay so next step, what I’ll do is:",,,,
,,,- Review your current policies in detail,,,,
,,,- Propose a personal accident plan for both of you,,,,
,,,- Suggest options for daughter’s university funding,,,,
,,,- Recalculate your protection coverage based on new income,,,,
,,,,,,,
,,,Speaker A: Okay sounds good.,,,,
,,,,,,,
,,,Speaker C: When you want to meet again?,,,,
,,,,,,,
,,,Speaker B: I suggest next week or the week after. Prefer weekday night or weekend?,,,,
,,,,,,,
,,,Speaker A: Weekend better.,,,,
,,,,,,,
,,,Speaker C: Sunday afternoon?,,,,
,,,,,,,
,,,"Speaker B: Can. I prepare everything and walk you through properly, no obligation.",,,,
,,,,,,,
,,,Speaker A: Okay.,,,,
,,,,,,,
,,,Speaker B: Meanwhile can you send me your existing policy documents?,,,,
,,,,,,,
,,,Speaker C: I’ll gather and send you.,,,,
,,,,,,,
,,,Speaker B: Perfect. Then next meeting we go deeper.,,,,
,,,,,,,
,,,"Speaker A: Thanks ah, very helpful.",,,,
,,,,,,,
,,,"Speaker B: No problem, that’s what I’m here for.",,,,
Shermaine,10.1,- Short recap to be sent to customer,Meeting summary — Overview,"Generate a short recap that the advisor can send to the customer over WhatsApp after the meeting to recap the meeting. Don't include anything that is only relevant for the advisor to know and does not need to be recapped for the customer (e.g., specific numbers that the customer shared, or any ""soft"" attributes we have captured that is only for advisor's own reference). Make sure the tone is friendly professional, appropriate for an advisor to share directly to customer. See the detailed meeting summary here:","Hi Minchi, great catching up today! We talked about your current insurance and savings setup, noted the gap in personal accident coverage, and touched on longer-term goals like your son’s education and retirement planning. I’ll prepare a more detailed view of your cash flow and options for our next discussion. Let’s meet again in two weeks on a weekend — does that work for you?",,
,,- Based on meeting transcription,"Narrative: This was an informal, first-touch coffee meeting where the advisor (Speaker B) and the customer (Speaker A, “Minchi”) discussed lifestyle topics and reviewed the customer’s current insurance and savings posture. The conversation blended social rapport (pickleball, family, injuries) with a light financial review that surfaced one immediate gap and potential longer‑term planning needs.",Give a call to action to meet up soon in a casual way.,,,
,,,,<Insert detailed meeting summary>,,,
,,,Key bullets,,,,
,,,,,,,
,,,Purpose of meeting: Casual catch-up + discuss GE pickleball invite and review customer’s insurance/investment setup.,,,,
,,,,,,,
,,,Type of review: Informal portfolio and protection check (no formal fact‑finding or document review).,,,,
,,,,,,,
,,,Who attended: Customer (Speaker A / Minchi) and Advisor (Speaker B).,,,,
,,,,,,,
,,,Current stage of conversation: Early-stage relationship; exploratory planning agreed (follow-up meeting scheduled).,,,,
,,,,,,,
,,,"Tone & sentiment: Warm, conversational, collaborative; customer receptive and comfortable.",,,,
,,,,,,,
,,,"Overall insights: Customer is conservative with savings (endowments + robo/advisor-managed funds), has basic hospitalization cover, no personal accident cover for herself, invests $500/month jointly with husband, and is open to a follow-up planning session focused on child education and retirement.",,,,
,,,,,,,
,,,Quoted from the meeting: “How about we meet two weeks later then we have a more detailed perspective for you to consider.”,,,,
,,,Quoted from the meeting: “Every single month me and my husband we are putting in like about combined together $500 a month into this funds… I think so far we have accumulated about 20k.”,,,,
,,,,,,,
,,,Discussion points,,,,
,,,Social / rapport: Pickleball interest; customer joined an Ang Mo Kio pickleball group for socialising and networking; husband swims and has past back/knee injuries.,,,,
,,,,,,,
,,,Protection: Husband has a Manulife personal accident policy and TCM treatment history; customer does not have personal accident cover. Advisor highlighted personal accident as an immediate gap.,,,,
,,,,,,,
,,,"Insurance providers & product mix: Customer uses Manulife and NTUC Income; hospitalization cover primarily with NTUC Income; endowment and retirement plans in place (conservative, guaranteed-return style).",,,,
,,,,,,,
,,,"Investments & savings: Customer and husband use robo advisors and direct market investments; combined monthly contribution $500, accumulated ~$20,000, approximate returns ~3–5%.",,,,
,,,,,,,
,,,"Retirement plan details: Each spouse has a retirement/endowment plan: 10‑year premium, then roll until age 65, with an expected payout ~$3,000/month for 10 years; they have paid ~5 years so far.",,,,
,,,,,,,
,,,Longer-term goals: Considering funding child’s future education/university; thinking about property (“land”) but no commitment yet.,,,,
,,,,,,,
,,,Next steps discussed: Advisor proposed a follow-up meeting in two weeks (weekend preferred) to review cash flow and propose options for child education funding and retirement.,,,,
,,,,,,,
,,,Action items (explicitly mentioned in transcript),,,,
,,,Customer follow-up actions,,,,
,,,Customer (Speaker A): Agree to a follow-up meeting in two weeks on a weekend. ,,,,
,,,(Customer: “We can plan two weeks later… Preferably… weekends.”),,,,
,,,,,,,
,,,Advisor follow-up actions,,,,
,,,Advisor (Speaker B): Prepare and share a more detailed perspective based on the customer’s current cash flow/outflow to explore options for the son’s needs and the customer’s retirement.,,,,
,,,(Advisor: “I will share with you based on your current cash flow outflow and then from there we can explore how to best take care of your son's needs and your own retirement needs.”),,,,
,,,,,,,
,,,Advisor (Speaker B): Pass the pickleball ticket to the customer.,,,,
,,,"(Advisor: “Okay, then I pass you your pickleball ticket first.” — action completed during meeting.)",,,,
,,,,,,,
,,,Extracted attributes (labeled by category) — Customer 1 (Speaker A / Minchi),,,,
,,,Financial attributes,,,,
,,,,,,,
,,,Insurers: Manulife; NTUC Income.,,,,
,,,,,,,
,,,Hospitalisation cover: NTUC Income (hospital plan).,,,,
,,,,,,,
,,,Personal accident cover: Customer: none; Husband: Manulife personal accident.,,,,
,,,,,,,
